Numeric ID	Editor ID	Form: Child Can Use	Form: Has Currents	Form: NavMesh Import Collision	Form: On Local Map	Form: Playable	Form: Used As Platform	Full Name: Full Name <<TESFullName_Component>>	Keyword: Keywords <<BGSKeywordForm_Component>>	Resource: Art Name	Resource: Child Resources	Resource: Color	Resource: Resource AV	Resource: Round End Points	Resource: Scarcity
(0029B02C)	ResGastroSoda	false	false	Collision Geometry	true	true	false	Soda	keywords[0]::FoodResource [id:0x0029b03c]	Soda		R: 99 G: 82 B: 14	None	false	Common
(0029B02B)	ResGastroTea	false	false	Collision Geometry	true	true	false	Tea	keywords[0]::FoodResource [id:0x0029b03c]	Tea		R: 52 G: 44 B: 7	None	false	Common
(0029B02F)	ResGastroWine	false	false	Collision Geometry	true	true	false	Wine	keywords[0]::FoodResource [id:0x0029b03c]	Wine		R: 235 G: 209 B: 109	None	false	Common
(000057D6)	ResInorgCommonAluminum	false	false	Collision Geometry	true	true	false	Aluminum	keywords[0]::ResourceTypeSolid [id:0x00299549], keywords[1]::ResourceTypeCraftingInorganicCommon [id:0x0016b569]		Child Resources[0]::ResInorgUncommonBeryllium [id:0x000057d8], Child Resources[1]::ResInorgRareNeodymium [id:0x000057db]	R: 52 G: 74 B: 73	ResourceInorgCommonAluminum	false	Common
(000057EA)	ResInorgCommonArgon_G	false	false	Collision Geometry	true	true	false	Argon	keywords[0]::ResourceTypeGas [id:0x00299548], keywords[1]::ResourceTypeCraftingInorganicCommon [id:0x0016b569]		Child Resources[0]::ResInorgUncommonBenzene_G [id:0x000057e7]	R: 34 G: 75 B: 102	ResourceInorgCommonArgon	false	Common
(000057D5)	ResInorgCommonChlorine_G	false	false	Collision Geometry	true	true	false	Chlorine	keywords[0]::ResourceTypeGas [id:0x00299548], keywords[1]::ResourceTypeCraftingInorganicCommon [id:0x0016b569]		Child Resources[0]::ResInorgUncommonChlorosilanes_L [id:0x000057d7]	R: 66 G: 74 B: 87	ResourceInorgCommonChlorine	false	Common
(000057CF)	ResInorgCommonCopper	false	false	Collision Geometry	true	true	false	Copper	keywords[0]::ResourceTypeSolid [id:0x00299549], keywords[1]::ResourceTypeCraftingInorganicCommon [id:0x0016b569]		Child Resources[0]::ResInorgUncommonFluorine_G [id:0x000057d0], Child Resources[1]::ResInorgRareGold [id:0x000057d2]	R: 39 G: 85 B: 73	ResourceInorgCommonCopper	false	Common
(000057F5)	ResInorgCommonHelium3_G	false	false	Collision Geometry	true	true	false	Helium-3	keywords[0]::ResourceTypeGas [id:0x00299548], keywords[1]::ResourceTypeCraftingInorganicCommon [id:0x0016b569]			R: 122 G: 178 B: 107	ResourceInorgCommonHelium3	false	Special
(000057C7)	ResInorgCommonIron	false	false	Collision Geometry	true	true	false	Iron	keywords[0]::ResourceTypeSolid [id:0x00299549], keywords[1]::ResourceTypeCraftingInorganicCommon [id:0x0016b569]		Child Resources[0]::ResInorgRareTantalum [id:0x000057c8], Child Resources[1]::ResInorgUncommonAlkanes_G [id:0x000057c9], Child Resources[2]::ResInorgExoticYtterbium [id:0x000057ca]	R: 117 G: 64 B: 58	ResourceInorgCommonIron	false	Common
(000057C1)	ResInorgCommonLead	false	false	Collision Geometry	true	true	false	Lead	keywords[0]::ResourceTypeSolid [id:0x00299549], keywords[1]::ResourceTypeCraftingInorganicCommon [id:0x0016b569]		Child Resources[0]::ResInorgUncommonSilver [id:0x000057c3], Child Resources[1]::ResInorgUncommonTungsten [id:0x000057c4]	R: 68 G: 79 B: 84	ResourceInorgCommonLead	false	Common
(000057CB)	ResInorgCommonNickel	false	false	Collision Geometry	true	true	false	Nickel	keywords[0]::ResourceTypeSolid [id:0x00299549], keywords[1]::ResourceTypeCraftingInorganicCommon [id:0x0016b569]		Child Resources[0]::ResInorgUncommonCobalt [id:0x000057ce], Child Resources[1]::ResInorgExoticPalladium [id:0x000057cd]	R: 95 G: 68 B: 33	ResourceInorgCommonNickel	false	Common
(000057EB)	ResInorgCommonUranium	false	false	Collision Geometry	true	true	false	Uranium	keywords[0]::ResourceRadioactive [id:0x000057f2], keywords[1]::ResourceTypeSolid [id:0x00299549], keywords[2]::ResourceTypeCraftingInorganicCommon [id:0x0016b569]		Child Resources[0]::ResInorgUncommonIridium [id:0x000057ec], Child Resources[1]::ResInorgRareVanadium [id:0x000057ed], Child Resources[2]::ResInorgExoticPlutonium [id:0x000057ee]	R: 74 G: 73 B: 15	ResourceInorgCommonUranium	false	Common
(000083EC)	ResInorgCommonWater_L	false	false	Collision Geometry	true	true	false	Water	keywords[0]::ResourceTypeLiquid [id:0x0029954a], keywords[1]::ResourceTypeCraftingInorganicCommon [id:0x0016b569]			R: 109 G: 164 B: 158	ResourceInorgCommonWater	false	Everywhere
(000057D3)	ResInorgExoticAntimony	false	false	Collision Geometry	true	true	false	Antimony	keywords[0]::ResourceTypeSolid [id:0x00299549], keywords[1]::ResourceTypeCraftingInorganicExotic [id:0x0004248e]			R: 219 G: 191 B: 91	ResourceInorgExoticAntimony	false	Exotic
(000057E0)	ResInorgExoticCaesium_L	false	false	Collision Geometry	true	true	false	Caesium	keywords[0]::ResourceTypeLiquid [id:0x0029954a], keywords[1]::ResourceTypeCraftingInorganicExotic [id:0x0004248e]		Child Resources[0]::ResInorgUniqueAldumite [id:0x00005df5]	R: 138 G: 132 B: 255	ResourceInorgExoticCaesium	false	Exotic
(000057C2)	ResInorgExoticDysprosium	false	false	Collision Geometry	true	true	false	Dysprosium	keywords[0]::ResourceTypeSolid [id:0x00299549], keywords[1]::ResourceTypeCraftingInorganicExotic [id:0x0004248e]			R: 116 G: 163 B: 184	ResourceInorgExoticDysprosium	false	Exotic
(000057E2)	ResInorgExoticEuropium	false	false	Collision Geometry	true	true	false	Europium	keywords[0]::ResourceTypeSolid [id:0x00299549], keywords[1]::ResourceTypeCraftingInorganicExotic [id:0x0004248e]		Child Resources[0]::ResInorgUniqueIndicite [id:0x0004ba38]	R: 159 G: 208 B: 205	ResourceInorgExoticEuropium	false	Exotic
(000057D4)	ResInorgExoticIonicLiquids_L	false	false	Collision Geometry	true	true	false	Ionic Liquids	keywords[0]::ResourceTypeLiquid [id:0x0029954a], keywords[1]::ResourceTypeCraftingInorganicExotic [id:0x0004248e]			R: 76 G: 215 B: 187	ResourceInorgExoticIonicLiquids	false	Exotic
(000057E9)	ResInorgExoticNeon_G	false	false	Collision Geometry	true	true	false	Neon	keywords[0]::ResourceTypeGas [id:0x00299548], keywords[1]::ResourceTypeCraftingInorganicExotic [id:0x0004248e]		Child Resources[0]::ResInorgUniqueVeryl_G [id:0x00005df7]	R: 42 G: 161 B: 190	ResourceInorgExoticNeon	false	Exotic
(000057CD)	ResInorgExoticPalladium	false	false	Collision Geometry	true	true	false	Palladium	keywords[0]::ResourceTypeSolid [id:0x00299549], keywords[1]::ResourceTypeCraftingInorganicExotic [id:0x0004248e]		Child Resources[0]::ResInorgUniqueTasine_L [id:0x00005df6]	R: 217 G: 162 B: 60	ResourceInorgExoticPalladium	false	Exotic
(000057EE)	ResInorgExoticPlutonium	false	false	Collision Geometry	true	true	false	Plutonium	keywords[0]::ResourceRadioactive [id:0x000057f2], keywords[1]::ResourceTypeSolid [id:0x00299549], keywords[2]::ResourceTypeCraftingInorganicExotic [id:0x0004248e]		Child Resources[0]::ResInorgUniqueVytinium [id:0x00005df8]	R: 184 G: 184 B: 64	ResourceInorgExoticPlutonium	false	Exotic
(000057DC)	ResInorgExoticXenon_G	false	false	Collision Geometry	true	true	false	Xenon	keywords[0]::ResourceTypeGas [id:0x00299548], keywords[1]::ResourceTypeCraftingInorganicExotic [id:0x0004248e]			R: 132 G: 152 B: 255	ResourceInorgExoticXenon	false	Exotic
(000057CA)	ResInorgExoticYtterbium	false	false	Collision Geometry	true	true	false	Ytterbium	keywords[0]::ResourceTypeSolid [id:0x00299549], keywords[1]::ResourceTypeCraftingInorganicExotic [id:0x0004248e]		Child Resources[0]::ResInorgUniqueRothicite [id:0x00005df1]	R: 212 G: 130 B: 106	ResourceInorgExoticYtterbium	false	Exotic
(000057E8)	ResInorgRareCarboxylicAcids_L	false	false	Collision Geometry	true	true	false	Carboxylic Acids	keywords[0]::ResourceTypeLiquid [id:0x0029954a], keywords[1]::ResourceTypeCraftingInorganicRare [id:0x0004248d]		Child Resources[0]::ResInorgExoticNeon_G [id:0x000057e9]	R: 58 G: 123 B: 156	ResourceInorgRareCarboxylicAcids	false	Rare
(000057D2)	ResInorgRareGold	false	false	Collision Geometry	true	true	false	Gold	keywords[0]::ResourceTypeSolid [id:0x00299549], keywords[1]::ResourceTypeCraftingInorganicRare [id:0x0004248d]		Child Resources[0]::ResInorgExoticAntimony [id:0x000057d3]	R: 199 G: 158 B: 78	ResourceInorgRareGold	false	Rare
(000057DA)	ResInorgRareLithium	false	false	Collision Geometry	true	true	false	Lithium	keywords[0]::ResourceTypeSolid [id:0x00299549], keywords[1]::ResourceTypeCraftingInorganicRare [id:0x0004248d]		Child Resources[0]::ResInorgExoticXenon_G [id:0x000057dc], Child Resources[1]::ResInorgExoticCaesium_L [id:0x000057e0]	R: 90 G: 116 B: 203	ResourceInorgRareLithium	false	Rare
(0027C499)	ResInorgRareMercury_L	false	false	Collision Geometry	true	true	false	Mercury	keywords[0]::ResourceTypeLiquid [id:0x0029954a], keywords[1]::ResourceTypeCraftingInorganicRare [id:0x0004248d]			R: 171 G: 148 B: 137	ResourceInorgRareMercury	false	Rare
(000057DB)	ResInorgRareNeodymium	false	false	Collision Geometry	true	true	false	Neodymium	keywords[0]::ResourceTypeSolid [id:0x00299549], keywords[1]::ResourceTypeCraftingInorganicRare [id:0x0004248d]		Child Resources[0]::ResInorgExoticEuropium [id:0x000057e2]	R: 106 G: 154 B: 151	ResourceInorgRareNeodymium	false	Rare
(000057CC)	ResInorgRarePlatinum	false	false	Collision Geometry	true	true	false	Platinum	keywords[0]::ResourceTypeSolid [id:0x00299549], keywords[1]::ResourceTypeCraftingInorganicRare [id:0x0004248d]			R: 73 G: 113 B: 168	ResourceInorgRarePlatinum	false	Rare
(000057C8)	ResInorgRareTantalum	false	false	Collision Geometry	true	true	false	Tantalum	keywords[0]::ResourceTypeSolid [id:0x00299549], keywords[1]::ResourceTypeCraftingInorganicRare [id:0x0004248d]			R: 189 G: 93 B: 95	ResourceInorgRareTantalum	false	Rare
(000057D1)	ResInorgRareTetrafluorides_G	false	false	Collision Geometry	true	true	false	Tetrafluorides	keywords[0]::ResourceTypeGas [id:0x00299548], keywords[1]::ResourceTypeCraftingInorganicRare [id:0x0004248d]		Child Resources[0]::ResInorgExoticIonicLiquids_L [id:0x000057d4]	R: 55 G: 160 B: 139	ResourceInorgRareTetrafluorides	false	Rare
(000057C6)	ResInorgRareTitanium	false	false	Collision Geometry	true	true	false	Titanium	keywords[0]::ResourceTypeSolid [id:0x00299549], keywords[1]::ResourceTypeCraftingInorganicRare [id:0x0004248d]		Child Resources[0]::ResInorgExoticDysprosium [id:0x000057c2]	R: 105 G: 135 B: 148	ResourceInorgRareTitanium	false	Rare
(000057ED)	ResInorgRareVanadium	false	false	Collision Geometry	true	true	false	Vanadium	keywords[0]::ResourceRadioactive [id:0x000057f2], keywords[1]::ResourceTypeSolid [id:0x00299549], keywords[2]::ResourceTypeCraftingInorganicRare [id:0x0004248d]			R: 142 G: 142 B: 51	ResourceInorgRareVanadium	false	Rare
(000057C9)	ResInorgUncommonAlkanes_G	false	false	Collision Geometry	true	true	false	Alkanes	keywords[0]::ResourceTypeGas [id:0x00299548], keywords[1]::ResourceTypeCraftingInorganicUncommon [id:0x0004248c]			R: 161 G: 75 B: 84	ResourceInorgUncommonAlkanes	false	Uncommon
(000057E7)	ResInorgUncommonBenzene_G	false	false	Collision Geometry	true	true	false	Benzene	keywords[0]::ResourceTypeGas [id:0x00299548], keywords[1]::ResourceTypeCraftingInorganicUncommon [id:0x0004248c]		Child Resources[0]::ResInorgRareCarboxylicAcids_L [id:0x000057e8]	R: 43 G: 95 B: 128	ResourceInorgUncommonBenzene	false	Uncommon
(000057D8)	ResInorgUncommonBeryllium	false	false	Collision Geometry	true	true	false	Beryllium	keywords[0]::ResourceTypeSolid [id:0x00299549], keywords[1]::ResourceTypeCraftingInorganicUncommon [id:0x0004248c]			R: 57 G: 103 B: 100	ResourceInorgUncommonBeryllium	false	Uncommon
(000057D7)	ResInorgUncommonChlorosilanes_L	false	false	Collision Geometry	true	true	false	Chlorosilanes	keywords[0]::ResourceTypeCraftingInorganicUncommon [id:0x0004248c], keywords[1]::ResourceTypeLiquid [id:0x0029954a]		Child Resources[0]::ResInorgRareLithium [id:0x000057da]	R: 78 G: 93 B: 147	ResourceInorgUncommonChlorosilanes	false	Uncommon
(000057CE)	ResInorgUncommonCobalt	false	false	Collision Geometry	true	true	false	Cobalt	keywords[0]::ResourceTypeSolid [id:0x00299549], keywords[1]::ResourceTypeCraftingInorganicUncommon [id:0x0004248c]		Child Resources[0]::ResInorgRarePlatinum [id:0x000057cc]	R: 51 G: 88 B: 140	ResourceInorgUncommonCobalt	false	Uncommon
(000057D0)	ResInorgUncommonFluorine_G	false	false	Collision Geometry	true	true	false	Fluorine	keywords[0]::ResourceTypeGas [id:0x00299548], keywords[1]::ResourceTypeCraftingInorganicUncommon [id:0x0004248c]		Child Resources[0]::ResInorgRareTetrafluorides_G [id:0x000057d1]	R: 47 G: 120 B: 105	ResourceInorgUncommonFluorine	false	Uncommon
(000057EC)	ResInorgUncommonIridium	false	false	Collision Geometry	true	true	false	Iridium	keywords[0]::ResourceTypeSolid [id:0x00299549], keywords[1]::ResourceTypeCraftingInorganicUncommon [id:0x0004248c]			R: 112 G: 110 B: 41	ResourceInorgUncommonIridium	false	Uncommon
(000057C3)	ResInorgUncommonSilver	false	false	Collision Geometry	true	true	false	Silver	keywords[0]::ResourceTypeSolid [id:0x00299549], keywords[1]::ResourceTypeCraftingInorganicUncommon [id:0x0004248c]		Child Resources[0]::ResInorgRareMercury_L [id:0x0027c499]	R: 126 G: 115 B: 109	ResourceInorgUncommonSilver	false	Uncommon
(000057C4)	ResInorgUncommonTungsten	false	false	Collision Geometry	true	true	false	Tungsten	keywords[0]::ResourceTypeSolid [id:0x00299549], keywords[1]::ResourceTypeCraftingInorganicUncommon [id:0x0004248c]		Child Resources[0]::ResInorgRareTitanium [id:0x000057c6]	R: 89 G: 108 B: 117	ResourceInorgUncommonTungsten	false	Uncommon
(00005DF5)	ResInorgUniqueAldumite	false	false	Collision Geometry	true	true	false	Aldumite	keywords[0]::ResourceTypeSolid [id:0x00299549], keywords[1]::ResourceTypeCraftingInorganicUnique [id:0x0004248f]			R: 186 G: 140 B: 255	ResourceInorgUniqueAldumite	false	Unique
(00006529)	ResInorgUniqueAqueousHematite	false	false	Collision Geometry	true	true	false	Aqueous Hematite	keywords[0]::ResourceTypeSolid [id:0x00299549], keywords[1]::ResourceTypeCraftingInorganicUnique [id:0x0004248f]			R: 251 G: 75 B: 66	ResourceInorgUniqueAqueousHematite	false	Unique
(00252074)	ResInorgUniqueCaelumite	false	false	Collision Geometry	true	true	false	Caelumite	keywords[0]::ResourceTypeSolid [id:0x00299549], keywords[1]::ResourceTypeCraftingInorganicUnique [id:0x0004248f]			R: 0 G: 0 B: 0	ResourceInorgUniqueCaelumite	false	Exotic
(0004BA38)	ResInorgUniqueIndicite	false	false	Collision Geometry	true	true	false	Indicite	keywords[0]::ResourceTypeSolid [id:0x00299549], keywords[1]::ResourceTypeCraftingInorganicUnique [id:0x0004248f]			R: 215 G: 255 B: 255	ResourceInorgUniqueIndicite	false	Unique
(00005DF1)	ResInorgUniqueRothicite	false	false	Collision Geometry	true	true	false	Rothicite	keywords[0]::ResourceTypeSolid [id:0x00299549], keywords[1]::ResourceTypeCraftingInorganicUnique [id:0x0004248f]			R: 252 G: 147 B: 117	ResourceInorgUniqueRothicite	false	Unique
(00005DF6)	ResInorgUniqueTasine_L	false	false	Collision Geometry	true	true	false	Tasine	keywords[0]::ResourceTypeLiquid [id:0x0029954a], keywords[1]::ResourceTypeCraftingInorganicUnique [id:0x0004248f]			R: 251 G: 220 B: 76	ResourceInorgUniqueTasine	false	Unique
(00005DF7)	ResInorgUniqueVeryl_G	false	false	Collision Geometry	true	true	false	Veryl	keywords[0]::ResourceTypeGas [id:0x00299548], keywords[1]::ResourceTypeCraftingInorganicUnique [id:0x0004248f]			R: 39 G: 214 B: 230	ResourceInorgUniqueVeryl	false	Unique
(00005DF8)	ResInorgUniqueVytinium	false	false	Collision Geometry	true	true	false	Vytinium	keywords[0]::ResourceRadioactive [id:0x000057f2], keywords[1]::ResourceTypeSolid [id:0x00299549], keywords[2]::ResourceTypeCraftingInorganicUnique [id:0x0004248f]			R: 237 G: 237 B: 86	ResourceInorgUniqueVytinium	false	Unique
(002BC057)	ResLargePrimer	false	false	Collision Geometry	true	true	false	Large Primer	keywords[0]::ResourceTypeCraftingGeneric [id:0x0003f001]	LargePrimer		R: 0 G: 0 B: 0	None	false	Everywhere
(002C0D38)	ResLaserPrimer	false	false	Collision Geometry	true	true	false	Charged Diodes	keywords[0]::ResourceTypeCraftingGeneric [id:0x0003f001]	ChargedDiode		R: 0 G: 0 B: 0	None	false	Everywhere
(002D398B)	ResLegendaryCatalyst	false	false	Collision Geometry	true	true	false	Genetic Material				R: 69 G: 140 B: 211	None	false	Exotic
(00122EB9)	ResLegendaryTissues	false	false	Collision Geometry	true	true	false	Quark-D. Tissues	keywords[0]::FoodResource [id:0x0029b03c], keywords[1]::ResourceTypeCraftingOrganicExotic [id:0x000424a1]	ResLegendaryTissues		R: 255 G: 0 B: 210	None	false	Exotic
(002C0D3D)	ResMagneticPrimer	false	false	Collision Geometry	true	true	false	Magnetic Diodes	keywords[0]::ResourceTypeCraftingGeneric [id:0x0003f001]	MagneticPrimer		R: 0 G: 0 B: 0	None	false	Everywhere
(00245775)	ResMfg_Tier01_AdaptiveFrame	false	false	Collision Geometry	true	true	false	Adaptive Frame	keywords[0]::ResourceTypeManufactured [id:0x0023ceb6], keywords[1]::ResourceTypeCraftingMfgCommon [id:0x000424a5]	StructuralFrame		R: 59 G: 66 B: 74	ResMfg_Tier01_AdaptiveFrameAV	false	Common
(0027319D)	ResMfg_Tier01_AusteniticManifold	false	false	Collision Geometry	true	true	false	Austenitic Manifold	keywords[0]::ResourceTypeManufactured [id:0x0023ceb6], keywords[1]::ResourceTypeCraftingMfgUncommon [id:0x000424a8]	AusteniticManifold		R: 59 G: 66 B: 74	ResMfg_Tier01_AusteniticManifoldAV	false	Common
(00299544)	ResMfg_Tier01_CommRelay	false	false	Collision Geometry	true	true	false	Comm Relay	keywords[0]::ResourceTypeManufactured [id:0x0023ceb6], keywords[1]::ResourceTypeCraftingMfgUncommon [id:0x000424a8]	CommRelay		R: 59 G: 66 B: 74	ResMfg_Tier01_CommRelayAV	false	Common
(0024578A)	ResMfg_Tier01_IsocenteredMagnet	false	false	Collision Geometry	true	true	false	Isocentered Magnet	keywords[0]::ResourceTypeManufactured [id:0x0023ceb6], keywords[1]::ResourceTypeCraftingMfgCommon [id:0x000424a5]	IsocenteredMagnet		R: 59 G: 66 B: 74	ResMfg_Tier01_IsocenteredMagnetAV	false	Common
(00245789)	ResMfg_Tier01_IsotopicCoolant	false	false	Collision Geometry	true	true	false	Isotopic Coolant	keywords[0]::ResourceTypeManufactured [id:0x0023ceb6], keywords[1]::ResourceTypeCraftingMfgCommon [id:0x000424a5]	IsotopicCoolant		R: 59 G: 66 B: 74	ResMfg_Tier01_IsotopicCoolantAV	false	Common
(00245788)	ResMfg_Tier01_MagPressureTank	false	false	Collision Geometry	true	true	false	Mag Pressure Tank	keywords[0]::ResourceTypeManufactured [id:0x0023ceb6], keywords[1]::ResourceTypeCraftingMfgUncommon [id:0x000424a8]	MagPressureTank		R: 59 G: 66 B: 74	ResMfg_Tier01_MagPressureTankAV	false	Common
(00245785)	ResMfg_Tier01_Monopropellant	false	false	Collision Geometry	true	true	false	Monopropellant	keywords[0]::ResourceTypeManufactured [id:0x0023ceb6], keywords[1]::ResourceTypeCraftingMfgUncommon [id:0x000424a8]	Monopropellant		R: 59 G: 66 B: 74	ResMfg_Tier01_MonopropellantAV	false	Common
(0024577F)	ResMfg_Tier01_Polytextile	false	false	Collision Geometry	true	true	false	Polytextile	keywords[0]::ResourceTypeManufactured [id:0x0023ceb6], keywords[1]::ResourceTypeCraftingMfgUncommon [id:0x000424a8]	Polytextile		R: 59 G: 66 B: 74	ResMfg_Tier01_PolytextileAV	false	Common
(0024577B)	ResMfg_Tier01_ReactiveGauge	false	false	Collision Geometry	true	true	false	Reactive Gauge	keywords[0]::ResourceTypeManufactured [id:0x0023ceb6], keywords[1]::ResourceTypeCraftingMfgCommon [id:0x000424a5]	ReactiveGauge		R: 59 G: 66 B: 74	ResMfg_Tier01_ReactiveGaugeAV	false	Common
(00245772)	ResMfg_Tier01_TauGradeRheostat	false	false	Collision Geometry	true	true	false	Tau Grade Rheostat	keywords[0]::ResourceTypeManufactured [id:0x0023ceb6], keywords[1]::ResourceTypeCraftingMfgUncommon [id:0x000424a8]	TauGradeRheostat		R: 59 G: 66 B: 74	ResMfg_Tier01_TauGradeRheostatAV	false	Common
(00245770)	ResMfg_Tier01_VacGradeExplosive	false	false	Collision Geometry	true	true	false	Vac Grade Explosive	keywords[0]::ResourceTypeManufactured [id:0x0023ceb6]	VacGradeExplosive		R: 59 G: 66 B: 74	ResMfg_Tier01_VacGradeExplosiveAV	false	Common
(0024576E)	ResMfg_Tier01_ZeroWire	false	false	Collision Geometry	true	true	false	Zero Wire	keywords[0]::ResourceTypeManufactured [id:0x0023ceb6], keywords[1]::ResourceTypeCraftingMfgCommon [id:0x000424a5]	ZeroWire		R: 59 G: 66 B: 74	ResMfg_Tier01_ZeroWireAV	false	Common
(0029C460)	ResMfg_Tier02_ControlRod	false	false	Collision Geometry	true	true	false	Control Rod	keywords[0]::ResourceTypeManufactured [id:0x0023ceb6], keywords[1]::ResourceTypeCraftingMfgExotic [id:0x000424a6]	ControlRod		R: 59 G: 66 B: 74	ResMfg_Tier02_ControlRodAV	false	Common
(0029C461)	ResMfg_Tier02_DeformableNozzle	false	false	Collision Geometry	true	true	false	Deformable Nozzle	keywords[0]::ResourceTypeManufactured [id:0x0023ceb6]	DeformableNozzle		R: 59 G: 66 B: 74	ResMfg_Tier02_DeformableNozzleAV	false	Common
(00208E99)	ResMfg_Tier02_DrillingRig	false	false	Collision Geometry	true	true	false	Drilling Rig	keywords[0]::ResourceTypeManufactured [id:0x0023ceb6], keywords[1]::ResourceTypeCraftingMfgRare [id:0x000424a7]	DrillingRig		R: 59 G: 66 B: 74	ResMfg_Tier02_DrillingRigAV	false	Common
(0024578D)	ResMfg_Tier02_GraviticLaminate	false	false	Collision Geometry	true	true	false	Gravitic Laminate	keywords[0]::ResourceTypeManufactured [id:0x0023ceb6]	GraviticLaminate		R: 59 G: 66 B: 74	ResMfg_Tier02_GraviticLaminateAV	false	Common
(00245786)	ResMfg_Tier02_MolecularSieve	false	false	Collision Geometry	true	true	false	Molecular Sieve	keywords[0]::ResourceTypeManufactured [id:0x0023ceb6], keywords[1]::ResourceTypeCraftingMfgRare [id:0x000424a7]	MolecularSieve		R: 59 G: 66 B: 74	ResMfg_Tier02_MolecularSieveAV	false	Common
(00245783)	ResMfg_Tier02_NuclearFuelRod	false	false	Collision Geometry	true	true	false	Nuclear Fuel Rod	keywords[0]::ResourceTypeManufactured [id:0x0023ceb6], keywords[1]::ResourceTypeCraftingMfgExotic [id:0x000424a6]	NuclearFuelRod		R: 59 G: 66 B: 74	ResMfg_Tier02_NuclearFuelRodAV	false	Common
(00245782)	ResMfg_Tier02_ParamagnonSuperconductor	false	false	Collision Geometry	true	true	false	Paramagnon Conductor	keywords[0]::ResourceTypeManufactured [id:0x0023ceb6], keywords[1]::ResourceTypeCraftingMfgRare [id:0x000424a7]	ParamagnonSuperconductor		R: 59 G: 66 B: 74	ResMfg_Tier02_ParamagnonSuperconductorAV	false	Common
